"student_id";"first_name";"last_name";"group_id";"entry-year"
1;"Andrés";"Martínez";1;2013
2;"Beatriz";"Lozano";1;2010
3;"Cristina";"Navarro";1;2012
4;"Daniel";"Ortega";2;2013
5;"Elena";"Ruiz";2;2018
6;"Fernando";"Gómez";2;2019
7;"Gloria";"Sánchez";3;2020
8;"Hugo";"Castro";3;2021
9;"Isabel";"Romero";3;2022
10;"Jorge";"Jiménez";4;2023
11;"Carolina";"Muñoz";4;2024
12;"Luis";"Domínguez";4;2023
13;"Marta";"Paredes";5;2022
14;"Nicolás";"Reyes";5;2021
15;"Olga";"Blanco";5;2020
16;"Pablo";"Álvarez";6;2019
17;"Raquel";"Salas";6;2018
18;"Sergio";"Delgado";6;2017
19;"Tamara";"Velasco";7;2016
20;"Ulises";"Gallego";7;2015
21;"Valeria";"Peña";7;2025
22;"Guillermo";"Quintana";8;2025
23;"Ximena";"Fuentes";8;2025
24;"Yago";"Montes";8;2025
25;"Zaira";"Alonso";9;2025
26;"Álvaro";"Medina";9;2025
27;"Bárbara";"Pastor";9;2025
28;"César";"Redondo";10;2025
29;"Diana";"Silva";10;2025
30;"Esteban";"Ramírez";10;2025
